ID,Cliente,Modulo,Texto,Texto2,Texto3,n1b1,n1b2,n1b3,n1b4,n1b5,n1i1,n1i2,n1i3,n1i4,n1i5,n1n1,n1n2,n1n3,n1n4,n1n5,n1g1,n1g2,n1g3,n1g4,n1g5,n1o1,n1o2,n1o3,n1o4,n1o5
1,,,,,,15,13,1,10,5,28,16,30,25,20,39,37,1,31,45,58,46,60,50,55,75,61,73,70,65
2,,,,,,4,7,15,13,3,17,23,22,25,16,34,37,2,41,31,48,53,52,56,59,64,65,66,68,75
3,,,,,,13,11,14,8,3,26,29,28,23,18,37,35,3,44,43,56,59,58,48,53,73,74,71,68,63
4,,,,,,12,10,13,7,2,25,28,27,22,17,36,34,4,43,42,55,58,57,47,52,72,73,70,67,62
5,,,,,,15,4,7,10,12,30,25,23,20,18,42,38,5,32,34,51,58,59,46,57,74,65,75,72,64
6,,,,,,14,13,8,6,4,29,18,28,22,17,31,39,6,44,37,59,50,56,46,54,71,74,65,75,68
7,,,,,,1,5,6,9,8,23,24,16,21,20,37,32,7,31,40,50,46,51,53,54,66,61,65,69,68
8,,,,,,13,8,9,3,4,19,18,24,23,28,43,38,8,36,37,54,49,48,58,53,69,73,68,64,63
9,,,,,,1,9,7,12,8,23,16,24,22,27,34,31,9,39,41,53,46,54,57,52,72,61,67,69,68
10,,,,,,7,13,2,1,4,23,18,24,30,25,38,35,10,34,33,52,57,58,46,49,67,71,75,62,74
11,,,,,,3,9,5,6,14,29,21,20,24,18,36,33,11,38,39,51,54,48,50,59,74,63,69,65,66
12,,,,,,4,5,13,11,12,17,28,25,23,22,39,37,12,38,41,53,47,48,49,51,64,61,73,71,67
13,,,,,,12,15,10,6,11,30,20,24,19,17,37,34,13,33,40,60,57,47,59,46,74,64,65,68,70
14,,,,,,1,4,11,10,12,16,27,22,28,19,42,44,14,33,32,47,52,50,51,46,72,73,67,71,75
15,,,,,,8,7,2,15,13,23,27,22,16,26,40,33,15,38,31,53,59,50,55,48,65,68,74,69,62
16,,,,,,10,13,7,4,2,17,26,25,22,20,32,40,16,38,34,55,59,48,52,53,70,65,62,68,73
17,,,,,,9,2,4,7,11,17,19,22,24,26,39,35,17,33,32,54,47,49,56,52,71,69,62,64,967
18,,,,,,15,1,5,8,14,30,27,23,16,26,42,39,18,45,36,50,52,58,46,47,74,68,61,63,72
19,,,,,,8,12,2,6,7,30,27,25,18,19,31,34,19,40,36,59,51,49,53,57,68,69,70,75,64
20,,,,,,9,14,7,6,2,21,18,30,25,27,45,33,20,35,38,52,46,57,54,47,72,68,61,65,67
21,,,,,,7,9,3,2,6,25,17,20,21,16,43,31,21,37,38,52,57,56,58,60,69,71,73,61,63
